,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
27,L08,OSBS,2018107,2.260633402941178,10,6,77.22,2099.01,2018105
61,S2A,DSNY,2018174,2.773579008725225,10,6,449.49,1962.62,2018169
62,S2A,DSNY,2018194,2.7882748221864504,10,6,449.49,1962.62,2018193
63,S2A,DSNY,2018204,3.091236247091877,10,6,449.49,1962.62,2018201
129,S2A,OSBS,2018004,1.794666005373001,10,6,77.22,2099.01,2018001
130,S2A,OSBS,2018294,2.192036437988281,10,6,77.22,2099.01,2018289
131,S2A,OSBS,2018304,2.1125790202617645,10,6,77.22,2099.01,2018297
187,S2B,DSNY,2018159,2.916737366695793,10,6,449.49,1962.62,2018153
254,S2B,OSBS,2018359,1.782486002445221,10,6,77.22,2099.01,2018353
